"dates","cases"
2020-03-14,1
2020-03-15,1
2020-03-16,1
2020-03-17,1
2020-03-18,1
2020-03-19,1
2020-03-20,1
2020-03-21,1
2020-03-22,4
2020-03-23,4
2020-03-24,4
2020-03-25,4
2020-03-26,6
2020-03-27,9
2020-03-28,9
2020-03-29,9
2020-03-30,9
2020-03-31,9
2020-04-01,9
2020-04-02,9
2020-04-03,9
2020-04-04,9
2020-04-05,9
2020-04-06,10
2020-04-07,10
2020-04-08,12
2020-04-09,12
2020-04-10,12
2020-04-11,12
2020-04-12,14
2020-04-13,15
2020-04-14,15
2020-04-15,15
2020-04-16,16
2020-04-17,16
2020-04-18,22
2020-04-19,22
2020-04-20,24
2020-04-21,31
2020-04-22,31
2020-04-23,31
2020-04-24,36
2020-04-25,56
2020-04-26,59
2020-04-27,65
2020-04-28,71
2020-04-29,91
2020-04-30,100
2020-05-01,106
2020-05-02,108
2020-05-03,112
2020-05-04,116
2020-05-05,119
2020-05-06,123
2020-05-07,153
2020-05-08,159
2020-05-09,163
2020-05-10,172
2020-05-11,175
2020-05-12,184
2020-05-13,187
2020-05-14,187
2020-05-15,190
2020-05-16,202
2020-05-17,203
2020-05-18,205
2020-05-19,208
2020-05-20,217
2020-05-21,220
2020-05-22,225
2020-05-23,238
2020-05-24,250
2020-05-25,256
2020-05-26,261
2020-05-27,272
2020-05-28,279
2020-05-29,279
2020-05-30,283
2020-05-31,285
2020-06-01,293
2020-06-02,294
2020-06-03,295
2020-06-04,300
2020-06-05,305
2020-06-06,322
2020-06-07,333
2020-06-08,340
2020-06-09,371
2020-06-10,398
2020-06-11,449
2020-06-12,472
2020-06-13,486
2020-06-14,490
2020-06-15,506
2020-06-16,520
2020-06-17,563
2020-06-18,586
2020-06-19,623
2020-06-20,627
2020-06-21,635
2020-06-22,643
2020-06-23,674
2020-06-24,690
2020-06-25,706
2020-06-26,728
2020-06-27,745
2020-06-28,781
2020-06-29,795
2020-06-30,812
2020-07-01,840
2020-07-02,873
2020-07-03,909
2020-07-04,954
2020-07-05,988
2020-07-06,1011
2020-07-07,1056
2020-07-08,1138
2020-07-09,1213
2020-07-10,1257
2020-07-11,1311
2020-07-12,1351
2020-07-13,1389
2020-07-14,1434
2020-07-15,1489
2020-07-16,1552
2020-07-17,1619
2020-07-18,1729
2020-07-19,1793
2020-07-20,1826
2020-07-21,1894
2020-07-22,1938
2020-07-23,2021
2020-07-24,2073
2020-07-25,2142
2020-07-26,2207
2020-07-27,2316
2020-07-28,2404
2020-07-29,2551
2020-07-30,2577
2020-07-31,2648
2020-08-01,2706
2020-08-02,2775
2020-08-03,2838
2020-08-04,2856
2020-08-05,2909
2020-08-06,2968
2020-08-07,3036
2020-08-08,3128
2020-08-09,3236
2020-08-10,3309
2020-08-11,3410
2020-08-12,3525
2020-08-13,3599
2020-08-14,3670
2020-08-15,3745
2020-08-16,3839
2020-08-17,3894
2020-08-18,3989
2020-08-19,4058
2020-08-20,4110
2020-08-21,4128
2020-08-22,4189
2020-08-23,4225
2020-08-24,4304
2020-08-25,4327
2020-08-26,4387
2020-08-27,4433
2020-08-28,4461
2020-08-29,4510
2020-08-30,4561
2020-08-31,4577
2020-09-01,4618
2020-09-02,4668
2020-09-03,4720
2020-09-04,4780
2020-09-05,4819
2020-09-06,4853
2020-09-07,4884
2020-09-08,4904
2020-09-09,4936
2020-09-10,4994
2020-09-11,5025
2020-09-12,5050
2020-09-13,5075
2020-09-14,5104
2020-09-15,5128
2020-09-16,5155
2020-09-17,5191
2020-09-18,5215
2020-09-19,5245
2020-09-20,5269
2020-09-21,5282
2020-09-22,5307
2020-09-23,5343
2020-09-24,5375
2020-09-25,5399
2020-09-26,5419
2020-09-27,5431
2020-09-28,5452
2020-09-29,5462
2020-09-30,5482
2020-10-01,5500
2020-10-02,5521
2020-10-03,5530
2020-10-04,5569
2020-10-05,5579
2020-10-06,5598
2020-10-07,5617
2020-10-08,5632
2020-10-09,5644
2020-10-10,5660
2020-10-11,5669
2020-10-12,5683
2020-10-13,5696
2020-10-14,5715
2020-10-15,5733
2020-10-16,5746
2020-10-17,5765
2020-10-18,5780
2020-10-19,5788
2020-10-20,5800
2020-10-21,5805
2020-10-22,5814
2020-10-23,5831
2020-10-24,5847
2020-10-25,5854
2020-10-26,5863
2020-10-27,5875
2020-10-28,5886
2020-10-29,5899
2020-10-30,5909
