"dates","cases"
2020-03-22,1
2020-03-23,1
2020-03-24,3
2020-03-25,5
2020-03-26,7
2020-03-27,7
2020-03-28,8
2020-03-29,8
2020-03-30,8
2020-03-31,8
2020-04-01,10
2020-04-02,10
2020-04-03,10
2020-04-04,10
2020-04-05,10
2020-04-06,10
2020-04-07,10
2020-04-08,17
2020-04-09,17
2020-04-10,20
2020-04-11,20
2020-04-12,21
2020-04-13,21
2020-04-14,28
2020-04-15,29
2020-04-16,31
2020-04-17,34
2020-04-18,35
2020-04-19,39
2020-04-20,39
2020-04-21,39
2020-04-22,41
2020-04-23,46
2020-04-24,65
2020-04-25,70
2020-04-26,76
2020-04-27,76
2020-04-28,76
2020-04-29,76
2020-04-30,76
2020-05-01,79
2020-05-02,79
2020-05-03,80
2020-05-04,80
2020-05-05,81
2020-05-06,81
2020-05-07,81
2020-05-08,82
2020-05-09,87
2020-05-10,91
2020-05-11,103
2020-05-12,104
2020-05-13,104
2020-05-14,115
2020-05-15,119
2020-05-16,129
2020-05-17,137
2020-05-18,145
2020-05-19,146
2020-05-20,156
2020-05-21,162
2020-05-22,164
2020-05-23,168
2020-05-24,194
2020-05-25,209
2020-05-26,213
2020-05-27,227
2020-05-28,233
2020-05-29,234
2020-05-30,244
2020-05-31,254
2020-06-01,254
2020-06-02,307
2020-06-03,316
2020-06-04,352
2020-06-05,354
2020-06-06,409
2020-06-07,424
2020-06-08,433
2020-06-09,453
2020-06-10,472
2020-06-11,489
2020-06-12,509
2020-06-13,553
2020-06-14,583
2020-06-15,609
2020-06-16,638
2020-06-17,651
2020-06-18,662
2020-06-19,668
2020-06-20,688
2020-06-21,733
2020-06-22,737
2020-06-23,757
2020-06-24,762
2020-06-25,788
2020-06-26,816
2020-06-27,839
2020-06-28,859
2020-06-29,883
2020-06-30,889
2020-07-01,903
2020-07-02,918
2020-07-03,939
2020-07-04,969
2020-07-05,987
2020-07-06,1012
2020-07-07,1040
2020-07-08,1071
2020-07-09,1092
2020-07-10,1111
2020-07-11,1135
2020-07-12,1157
2020-07-13,1219
2020-07-14,1268
2020-07-15,1330
2020-07-16,1383
2020-07-17,1402
2020-07-18,1435
2020-07-19,1491
2020-07-20,1507
2020-07-21,1536
2020-07-22,1557
2020-07-23,1582
2020-07-24,1590
2020-07-25,1616
2020-07-26,1669
2020-07-27,1701
2020-07-28,1720
2020-07-29,1748
2020-07-30,1808
2020-07-31,1864
2020-08-01,1907
2020-08-02,1946
2020-08-03,1973
