"dates","cases"
2020-03-20,1
2020-03-21,3
2020-03-22,3
2020-03-23,3
2020-03-24,3
2020-03-25,3
2020-03-26,3
2020-03-27,5
2020-03-28,7
2020-03-29,7
2020-03-30,7
2020-03-31,8
2020-04-01,8
2020-04-02,9
2020-04-03,9
2020-04-04,9
2020-04-05,9
2020-04-06,10
2020-04-07,11
2020-04-08,11
2020-04-09,11
2020-04-10,13
2020-04-11,14
2020-04-12,14
2020-04-13,17
2020-04-14,17
2020-04-15,23
2020-04-16,23
2020-04-17,24
2020-04-18,25
2020-04-19,25
2020-04-20,25
2020-04-21,28
2020-04-22,28
2020-04-23,28
2020-04-24,29
2020-04-25,31
2020-04-26,31
2020-04-27,32
2020-04-28,32
2020-04-29,32
2020-04-30,40
2020-05-01,40
2020-05-02,34
2020-05-03,34
2020-05-04,34
2020-05-05,34
2020-05-06,34
2020-05-07,34
2020-05-08,34
2020-05-09,35
2020-05-10,36
2020-05-11,36
2020-05-12,36
2020-05-13,37
2020-05-14,37
2020-05-15,42
2020-05-16,42
2020-05-17,44
2020-05-18,46
2020-05-19,46
2020-05-20,48
2020-05-21,51
2020-05-22,51
2020-05-23,56
2020-05-24,56
2020-05-25,56
2020-05-26,56
2020-05-27,132
2020-05-28,149
2020-05-29,149
2020-05-30,174
2020-05-31,178
2020-06-01,203
2020-06-02,206
2020-06-03,222
2020-06-04,237
2020-06-05,265
2020-06-06,279
2020-06-07,282
2020-06-08,287
2020-06-09,314
2020-06-10,320
2020-06-11,332
2020-06-12,343
2020-06-13,356
2020-06-14,383
2020-06-15,387
2020-06-16,391
2020-06-17,401
2020-06-18,463
2020-06-19,479
2020-06-20,479
2020-06-21,489
2020-06-22,512
2020-06-23,525
2020-06-24,530
2020-06-25,551
2020-06-26,561
2020-06-27,567
2020-06-28,567
2020-06-29,574
2020-06-30,591
2020-07-01,605
2020-07-02,617
2020-07-03,625
2020-07-04,698
2020-07-05,716
2020-07-06,734
2020-07-07,787
2020-07-08,885
2020-07-09,885
2020-07-10,942
2020-07-11,982
2020-07-12,985
2020-07-13,1034
2020-07-14,1064
2020-07-15,1089
2020-07-16,1362
2020-07-17,1420
2020-07-18,1478
2020-07-19,1611
2020-07-20,1713
2020-07-21,1820
2020-07-22,2034
2020-07-23,2124
2020-07-24,2296
2020-07-25,2434
2020-07-26,2512
2020-07-27,2704
2020-07-28,2817
2020-07-29,2879
2020-07-30,3092
2020-07-31,3169
2020-08-01,3659
2020-08-02,3921
2020-08-03,4075
2020-08-04,4221
2020-08-05,4221
2020-08-06,4339
2020-08-07,4451
2020-08-08,4575
2020-08-09,4649
2020-08-10,4748
2020-08-11,4818
2020-08-12,4893
2020-08-13,4990
2020-08-14,5072
2020-08-15,5176
2020-08-16,5261
2020-08-17,5308
2020-08-18,5378
2020-08-19,5643
2020-08-20,5745
2020-08-21,5815
2020-08-22,5893
2020-08-23,5930
2020-08-24,6070
2020-08-25,6196
2020-08-26,6251
2020-08-27,6292
2020-08-28,6388
2020-08-29,6406
2020-08-30,6412
2020-08-31,6497
2020-09-01,6559
2020-09-02,6638
2020-09-03,6678
2020-09-04,6837
2020-09-05,6837
2020-09-06,6837
2020-09-07,7298
2020-09-08,7388
2020-09-09,7429
2020-09-10,7453
2020-09-11,7479
2020-09-12,7508
2020-09-13,7526
2020-09-14,7531
2020-09-15,7576
2020-09-16,7598
2020-09-17,7633
2020-09-18,7647
2020-09-19,7672
2020-09-20,7683
2020-09-21,7683
2020-09-22,7711
2020-09-23,7725
2020-09-24,7752
2020-09-25,7787
2020-09-26,7803
2020-09-27,7812
2020-09-28,7816
2020-09-29,7837
2020-09-30,7838
2020-10-01,7850
2020-10-02,7858
2020-10-03,7885
2020-10-04,7888
2020-10-05,7898
2020-10-06,7915
2020-10-07,7919
2020-10-08,7951
2020-10-09,7994
2020-10-10,8010
2020-10-11,8011
2020-10-12,8021
2020-10-13,8036
2020-10-14,8055
2020-10-15,8075
2020-10-16,8099
2020-10-17,8110
2020-10-18,8147
2020-10-19,8159
2020-10-20,8187
2020-10-21,8215
2020-10-22,8242
2020-10-23,8257
2020-10-24,8269
2020-10-25,8276
2020-10-26,8303
2020-10-27,8315
2020-10-28,8320
2020-10-29,8349
2020-10-30,8362
2020-10-31,8367
2020-11-01,8374
2020-11-02,8389
2020-11-03,8410
2020-11-04,8427
2020-11-05,8444
2020-11-06,8471
2020-11-07,8498
2020-11-08,8531
2020-11-09,8561
2020-11-10,8610
2020-11-11,8667
2020-11-12,8696
2020-11-13,8765
2020-11-14,8786
2020-11-15,8829
2020-11-16,8897
2020-11-17,8945
2020-11-18,8981
2020-11-19,9046
2020-11-20,9120
2020-11-21,9172
2020-11-22,9220
2020-11-23,9308
2020-11-24,9398
2020-11-25,9508
2020-11-26,9623
2020-11-27,9714
2020-11-28,9822
2020-11-29,9822
2020-11-30,9950
2020-12-01,10129
2020-12-02,10129
2020-12-03,10424
2020-12-04,10547
2020-12-05,10617
2020-12-06,10718
2020-12-07,10839
2020-12-08,10912
2020-12-09,11007
2020-12-10,11081
2020-12-11,11162
2020-12-12,11219
2020-12-13,11246
2020-12-14,11358
2020-12-15,11522
2020-12-16,11749
2020-12-17,11866
2020-12-18,12047
2020-12-19,12151
2020-12-20,12325
2020-12-21,12422
2020-12-22,12544
2020-12-23,12656
2020-12-24,12786
2020-12-25,12880
2020-12-26,12963
2020-12-27,13077
2020-12-28,13148
2020-12-29,13325
2020-12-30,13625
2020-12-31,13867
2021-01-01,14084
2021-01-02,14491
2021-01-03,15265
2021-01-04,15829
2021-01-05,17194
2021-01-06,17804
2021-01-07,18675
2021-01-08,19660
2021-01-09,20499
2021-01-10,21477
2021-01-11,22297
2021-01-12,23239
2021-01-13,24256
2021-01-14,25368
2021-01-15,26109
2021-01-16,26881
2021-01-17,27203
2021-01-18,27892
2021-01-19,28675
2021-01-20,29408
2021-01-21,30047
2021-01-22,30523
2021-01-23,31007
2021-01-24,31320
2021-01-25,31646
2021-01-26,32004
2021-01-27,32304
2021-01-28,32646
2021-01-29,32952
2021-01-30,33273
2021-01-31,33388
2021-02-01,33548
2021-02-02,33814
2021-02-03,33964
2021-02-04,34171
2021-02-05,34331
2021-02-06,34487
2021-02-07,34552
2021-02-08,34658
2021-02-09,34781
2021-02-10,34864
2021-02-11,34864
2021-02-12,35045
2021-02-13,35104
2021-02-14,35172
2021-02-15,35222
2021-02-16,35315
2021-02-17,35423
2021-02-18,35543
2021-02-19,35710
2021-02-20,35768
2021-02-21,35796
2021-02-22,35862
2021-02-23,35910
2021-02-24,35960
2021-02-25,35994
2021-02-26,36044
2021-02-27,36058
2021-02-28,36089
2021-03-01,36115
2021-03-02,36148
2021-03-03,36179
2021-03-04,36223
2021-03-05,36248
2021-03-06,36260
2021-03-07,36271
2021-03-08,36289
2021-03-09,36321
2021-03-10,36341
2021-03-11,36377
2021-03-12,36423
2021-03-13,36471
2021-03-14,36484
2021-03-15,36504
2021-03-16,36535
2021-03-17,36552
2021-03-18,36611
2021-03-19,36652
2021-03-20,36662
2021-03-21,36665
2021-03-22,36684
2021-03-23,36717
2021-03-24,36749
2021-03-25,36778
2021-03-26,36805
2021-03-27,36818
2021-03-28,36822
2021-03-29,36839
2021-03-30,36839
2021-03-31,36882
2021-04-01,36896
2021-04-02,36903
2021-04-03,36911
2021-04-04,36923
2021-04-05,36934
2021-04-06,36966
2021-04-07,36984
2021-04-08,37052
2021-04-09,37147
2021-04-10,37273
2021-04-11,37288
2021-04-12,37307
2021-04-13,37330
2021-04-14,37369
2021-04-15,37422
2021-04-16,37534
2021-04-17,37699
2021-04-18,37751
2021-04-19,37859
2021-04-20,37875
2021-04-21,37980
2021-04-22,38018
2021-04-23,38045
2021-04-24,38064
2021-04-25,38086
2021-04-26,38102
2021-04-27,38164
2021-04-28,38191
2021-04-29,38235
2021-04-30,38257
2021-05-01,38260
2021-05-02,38281
2021-05-03,38293
2021-05-04,38327
2021-05-05,38357
2021-05-06,38398
2021-05-07,38403
2021-05-08,38414
2021-05-09,38419
2021-05-10,38433
2021-05-11,38448
2021-05-12,38466
2021-05-13,38491
2021-05-14,38535
2021-05-15,38554
2021-05-16,38560
2021-05-17,38572
2021-05-18,38595
2021-05-19,38612
2021-05-20,38635
2021-05-21,38664
2021-05-22,38679
2021-05-23,38682
2021-05-24,38696
2021-05-25,38706
2021-05-26,38819
2021-05-27,38854
2021-05-28,38918
2021-05-29,38933
2021-05-30,38944
2021-05-31,38961
2021-06-01,38998
2021-06-02,39031
2021-06-03,39092
2021-06-04,39144
2021-06-05,39168
2021-06-06,39189
2021-06-07,39238
2021-06-08,39321
2021-06-09,39432
2021-06-10,39496
2021-06-11,39688
2021-06-12,39852
2021-06-13,39959
2021-06-14,40077
2021-06-15,40318
2021-06-16,40556
2021-06-17,40927
2021-06-18,41335
2021-06-19,41628
2021-06-20,41779
2021-06-21,42195
2021-06-22,42714
2021-06-23,43480
2021-06-24,44306
